카테고리번호,대분류,중분류,소분류,세분류,카테고리, 네이버상품수량 ,해외직구수량
50003307,가구/인테리어,DIY자재/용품,가구부속품,가구다리,50003307,"134,937",44130
50003308,가구/인테리어,DIY자재/용품,가구부속품,가구바퀴,50003308,"68,931",36170
50003309,가구/인테리어,DIY자재/용품,가구부속품,경첩/꺽쇠/자석철물류,50003309,"412,398",152139
50003314,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품,50003314,"729,363",397962
50003310,가구/인테리어,DIY자재/용품,가구부속품,나사/못,50003310,"76,946",39468
50003311,가구/인테리어,DIY자재/용품,가구부속품,로프/철망,50003311,"13,504",4739
50003312,가구/인테리어,DIY자재/용품,가구부속품,서랍레일,50003312,"21,233",8773
50003313,가구/인테리어,DIY자재/용품,가구부속품,소켓/옷걸이봉,50003313,"36,483",5817
50001066,가구/인테리어,DIY자재/용품,데코스티커,,50001066,"1,208,770",270124
50008228,가구/인테리어,DIY자재/용품,리모델링,싱크대,50008228,"104,390",55836
50008208,가구/인테리어,DIY자재/용품,리모델링,욕실/바스,50008208,"20,381",9605
50008188,가구/인테리어,DIY자재/용품,리모델링,중문,50008188,"20,710",5430
50008848,가구/인테리어,DIY자재/용품,리모델링,창문/창호/새시,50008848,"19,126",11024
50001060,가구/인테리어,DIY자재/용품,목재,,50001060,"157,346",25416
50001064,가구/인테리어,DIY자재/용품,몰딩,,50001064,"88,072",27561
50003321,가구/인테리어,DIY자재/용품,바닥재,기타바닥재,50003321,"40,949",11580
50003315,가구/인테리어,DIY자재/용품,바닥재,마루,50003315,"41,229",18148
50003316,가구/인테리어,DIY자재/용품,바닥재,매트류,50003316,"123,223",34792
50003317,가구/인테리어,DIY자재/용품,바닥재,온돌마루,50003317,"1,410",679
50003318,가구/인테리어,DIY자재/용품,바닥재,인조잔디,50003318,"67,703",34604
50003319,가구/인테리어,DIY자재/용품,바닥재,장판,50003319,"18,720",7150
50003320,가구/인테리어,DIY자재/용품,바닥재,필름난방,50003320,"15,594",4612
50001061,가구/인테리어,DIY자재/용품,반제품,,50001061,"56,438",9415
50003328,가구/인테리어,DIY자재/용품,벽지,기타벽지,50003328,"110,266",37513
50003327,가구/인테리어,DIY자재/용품,벽지,띠벽지,50003327,"7,277",4871
50003325,가구/인테리어,DIY자재/용품,벽지,뮤럴벽지,50003325,"54,122",25212
50003324,가구/인테리어,DIY자재/용품,벽지,실크벽지,50003324,"51,949",15584
50003326,가구/인테리어,DIY자재/용품,벽지,포인트벽지,50003326,"120,089",80963
50003323,가구/인테리어,DIY자재/용품,벽지,합지벽지,50003323,"44,511",9400
50001062,가구/인테리어,DIY자재/용품,손잡이,,50001062,"721,247",249003
50003691,가구/인테리어,DIY자재/용품,시트지,단색시트지,50003691,"158,490",12101
50003690,가구/인테리어,DIY자재/용품,시트지,무늬목시트지,50003690,"69,145",2495
50003694,가구/인테리어,DIY자재/용품,시트지,뮤럴시트지,50003694,"82,249",755
50003693,가구/인테리어,DIY자재/용품,시트지,아이방시트지,50003693,"5,575",685
50003696,가구/인테리어,DIY자재/용품,시트지,유리용시트지,50003696,"776,534",35201
50003329,가구/인테리어,DIY자재/용품,시트지,타일시트지,50003329,"98,958",17706
50003692,가구/인테리어,DIY자재/용품,시트지,포인트시트지,50003692,"576,766",72227
50001067,가구/인테리어,DIY자재/용품,접착제/보수용품,,50001067,"177,590",39314
50007146,가구/인테리어,DIY자재/용품,타일,도기질타일,50007146,"14,894",3365
50003322,가구/인테리어,DIY자재/용품,타일,스텐타일,50003322,"1,146",86
50003684,가구/인테리어,DIY자재/용품,타일,아트타일,50003684,"20,587",12694
